name,family,level,strength_index,seed,observations,score,signal,visualization_quality,skewness,skew_score,outlier_rate,outlier_score,tail_asymmetry,tail_asymmetry_score
hist_combined_tail_moderate_seed_2,combined_right_tail,moderate,2,2,1000,59.81,38.18,100.0,3.6376715219321705,50.91781014621447,0.051,37.33333333333333,0.30131804005294277,38.175738673725704
hist_bimodality_moderate_seed_2,bimodality,moderate,2,2,1000,72.5,57.7,100.0,0.01263805237294421,0.0,0.0,0.0,0.04180723085861702,0.0
hist_skewness_strong_seed_2,skewness,strong,3,2,1000,69.56,53.16,100.0,2.6601421205089313,41.60142120508931,0.048,35.333333333333336,0.4128521701713883,53.1641466391153
hist_outliers_strong_seed_2,symmetric_outliers,strong,3,2,1000,64.9,46.0,100.0,0.0947929844458186,0.0,0.064,46.0,0.005615449250200017,0.0
hist_combined_tail_strong_seed_2,combined_right_tail,strong,3,2,1000,78.8,67.39,100.0,3.2409875270329302,47.4098752703293,0.092,60.99999999999999,0.5155888946514504,67.3892315671239
hist_bimodality_strong_seed_2,bimodality,strong,3,2,1000,84.45,76.08,100.0,0.006174346974753724,0.0,0.0,0.0,0.03668860870524352,0.0
hist_skewness_extreme_seed_2,skewness,extreme,4,2,1000,79.99,69.22,100.0,4.000974707853817,53.339831385692115,0.069,49.333333333333336,0.538313925422133,69.22092836147553
hist_outliers_extreme_seed_2,symmetric_outliers,extreme,4,2,1000,77.59,65.52,100.0,-0.021881575334095783,0.0,0.102,65.52,0.0263574676652489,0.0
hist_combined_tail_extreme_seed_2,combined_right_tail,extreme,4,2,1000,92.11,87.86,100.0,2.632931584957255,41.32931584957255,0.132,73.32000000000001,0.847356573441805,87.8590172502296
hist_bimodality_extreme_seed_2,bimodality,extreme,4,2,1000,87.0,80.0,100.0,0.003474046284656342,0.0,0.0,0.0,0.005665425357470998,0.0
hist_skewness_ordinary_seed_3,skewness,ordinary,0,3,1000,35.0,0.0,100.0,-0.08005200491920263,0.0,0.01,0.0,0.02117295696598481,0.0
hist_outliers_ordinary_seed_3,symmetric_outliers,ordinary,0,3,1000,35.0,0.0,100.0,-0.08005200491920009,0.0,0.01,0.0,0.021172956965985087,0.0
hist_combined_tail_ordinary_seed_3,combined_right_tail,ordinary,0,3,1000,35.0,0.0,100.0,-0.08005200491920263,0.0,0.01,0.0,0.02117295696598481,0.0
hist_bimodality_ordinary_seed_3,bimodality,ordinary,0,3,1000,35.0,0.0,100.0,-0.09618709685193988,0.0,0.006,0.0,0.014095314646038833,0.0
hist_skewness_weak_seed_3,skewness,weak,1,3,1000,47.07,18.57,100.0,0.5668112765710134,8.89370921903378,0.014,6.0,0.14853579329568836,18.566974161961046
hist_outliers_weak_seed_3,symmetric_outliers,weak,1,3,1000,44.75,15.0,100.0,-0.12681204020655956,0.0,0.02,15.0,0.022769015984987383,0.0
hist_combined_tail_weak_seed_3,combined_right_tail,weak,1,3,1000,48.61,20.94,100.0,2.6192328139011374,41.19232813901137,0.023,17.25,0.16751693456783645,20.939616820979555
hist_bimodality_weak_seed_3,bimodality,weak,1,3,1000,35.0,0.0,100.0,-0.12847818099610223,0.0,0.004,0.0,0.0401659298431557,0.0
hist_skewness_moderate_seed_3,skewness,moderate,2,3,1000,57.22,34.18,100.0,1.2834424573894831,23.3559399325791,0.024,18.0,0.27136842731285615,34.18245697504749
hist_outliers_moderate_seed_3,symmetric_outliers,moderate,2,3,1000,54.5,30.0,100.0,-0.5835874548163412,9.452915160544709,0.04,30.0,0.005260945781407004,0.0
hist_combined_tail_moderate_seed_3,combined_right_tail,moderate,2,3,1000,60.54,39.29,100.0,3.102153806658071,46.02153806658071,0.051,37.33333333333333,0.30967240787970424,39.28965438396057
hist_bimodality_moderate_seed_3,bimodality,moderate,2,3,1000,71.66,56.4,100.0,-0.05154867700423884,0.0,0.0,0.0,0.013952813015356433,0.0
hist_skewness_strong_seed_3,skewness,strong,3,3,1000,69.59,53.22,100.0,2.4347575867057647,39.34757586705765,0.044,32.666666666666664,0.4132547493415994,53.2198883703753
hist_outliers_strong_seed_3,symmetric_outliers,strong,3,3,1000,66.2,48.0,100.0,-0.2145271192839064,0.0,0.067,48.0,0.0006756525669448753,0.0
hist_combined_tail_strong_seed_3,combined_right_tail,strong,3,3,1000,78.8,67.38,100.0,2.9020716299337876,44.02071629933788,0.085,57.5,0.5155403825600056,67.38251450830846
hist_bimodality_strong_seed_3,bimodality,strong,3,3,1000,84.6,76.31,100.0,-0.003568287832197891,0.0,0.0,0.0,0.15042521161028374,18.80315145128547
hist_skewness_extreme_seed_3,skewness,extreme,4,3,1000,79.97,69.19,100.0,4.043433528595182,53.62289019063455,0.066,47.33333333333333,0.5378021633446783,69.18681088964522
hist_outliers_extreme_seed_3,symmetric_outliers,extreme,4,3,1000,77.93,66.04,100.0,-0.030545076494300206,0.0,0.104,66.03999999999999,0.003299788319147757,0.0
hist_combined_tail_extreme_seed_3,combined_right_tail,extreme,4,3,1000,91.16,86.4,100.0,2.473816866454751,39.73816866454751,0.125,71.5,0.8200004808811223,86.40002564699319
hist_bimodality_extreme_seed_3,bimodality,extreme,4,3,1000,87.0,80.0,100.0,0.01455898592170785,0.0,0.0,0.0,0.3337777251481025,42.50369668641367
hist_skewness_ordinary_seed_4,skewness,ordinary,0,4,1000,35.0,0.0,100.0,-0.10103667958831473,0.0,0.007,0.0,0.03404953827681596,0.0
hist_outliers_ordinary_seed_4,symmetric_outliers,ordinary,0,4,1000,35.0,0.0,100.0,-0.10103667958831518,0.0,0.007,0.0,0.034049538276816234,0.0
hist_combined_tail_ordinary_seed_4,combined_right_tail,ordinary,0,4,1000,35.0,0.0,100.0,-0.10103667958831473,0.0,0.007,0.0,0.03404953827681596,0.0
hist_bimodality_ordinary_seed_4,bimodality,ordinary,0,4,1000,35.0,0.0,100.0,-0.10388088370286,0.0,0.006,0.0,0.028471882294470147,0.0
